# P(k)  H0=0.7 Om0=0.3 Ob0=0.05 Ol0=0.7 Sigma8=0.8154 n_s=0.96
# k  P(k)  P_noOsc(k) 
    0.434629       558.625       552.097
    0.435128       557.221       550.697
    0.435627       555.822       549.302
    0.436126       554.428       547.912
    0.436625       553.039       546.527
    0.437124       551.654       545.147
    0.437623       550.273       543.772
    0.438122       548.897       542.402
    0.438621       547.526       541.037
     0.43912       546.159       539.676
    0.439619       544.797        538.32
    0.440118       543.439       536.969
    0.440617       542.086       535.623
    0.441116       540.738       534.281
    0.441615       539.394       532.945
    0.442114       538.054       531.612
    0.442613       536.719       530.285
    0.443112       535.389       528.962
    0.443611       534.063       527.644
     0.44411       532.742        526.33
    0.444609       531.426       525.021
    0.445108       530.114       523.717
    0.445607       528.806       522.417
    0.446106       527.504       521.122
    0.446605       526.205       519.831
    0.447104       524.912       518.544
    0.447603       523.623       517.262
    0.448102       522.338       515.985
    0.448601       521.058       514.712
      0.4491       519.783       513.443
    0.449599       518.512       512.179
    0.450098       517.246       510.919
    0.450597       515.984       509.663
    0.451096       514.727       508.412
    0.451595       513.474       507.165
    0.452094       512.225       505.923
    0.452593       510.982       504.684
    0.453092       509.742        503.45
    0.453591       508.507        502.22
     0.45409       507.277       500.995
    0.454589       506.051       499.773
    0.455088       504.829       498.556
    0.455587       503.612       497.343
    0.456086       502.399       496.134
    0.456585        501.19       494.929
    0.457084       499.986       493.728
    0.457583       498.786       492.531
    0.458082        497.59       491.338
    0.458581       496.399        490.15
     0.45908       495.211       488.965
    0.459579       494.028       487.785
    0.460078       492.849       486.608
    0.460577       491.674       485.436
    0.461076       490.503       484.267
    0.461575       489.336       483.102
    0.462074       488.173       481.941
    0.462573       487.014       480.785
    0.463072       485.859       479.632
    0.463571       484.708       478.483
     0.46407       483.561       477.337
    0.464569       482.418       476.196
    0.465068       481.278       475.058
    0.465567       480.143       473.925
    0.466066       479.011       472.795
    0.466565       477.883       471.668
    0.467064       476.758       470.546
    0.467563       475.638       469.427
    0.468062        474.52       468.312
    0.468561       473.407       467.201
     0.46906       472.297       466.094
    0.469559       471.191        464.99
    0.470058       470.088        463.89
    0.470557       468.989       462.793
    0.471056       467.893         461.7
    0.471555       466.801       460.611
    0.472054       465.712       459.525
    0.472553       464.626       458.443
    0.473052       463.545       457.364
    0.473551       462.466       456.289
     0.47405       461.391       455.218
    0.474549       460.319        454.15
    0.475048        459.25       453.086
    0.475547       458.185       452.025
    0.476046       457.123       450.967
    0.476545       456.065       449.913
    0.477044        455.01       448.863
    0.477543       453.958       447.816
    0.478042       452.909       446.772
    0.478541       451.863       445.732
     0.47904       450.821       444.695
    0.479539       449.782       443.661
    0.480038       448.746       442.631
    0.480537       447.714       441.604
    0.481036       446.685       440.581
    0.481535       445.659       439.561
    0.482034       444.636       438.544
    0.482533       443.616       437.531
    0.483032       442.599        436.52
    0.483531       441.586       435.513
     0.48403       440.576        434.51
    0.484529       439.569       433.509
    0.485028       438.565       432.512
    0.485527       437.565       431.518
    0.486026       436.567       430.527
    0.486525       435.573        429.54
    0.487024       434.582       428.555
    0.487523       433.594       427.574
    0.488022       432.609       426.596
    0.488521       431.628       425.621
     0.48902       430.649       424.649
    0.489519       429.674        423.68
    0.490018       428.702       422.714
    0.490517       427.733       421.752
    0.491016       426.767       420.792
    0.491515       425.804       419.836
    0.492014       424.844       418.882
    0.492513       423.888       417.932
    0.493012       422.934       416.985
    0.493511       421.984        416.04
     0.49401       421.036       415.099
    0.494509       420.092        414.16
    0.495008       419.151       413.225
    0.495507       418.213       412.293
    0.496006       417.278       411.363
    0.496505       416.346       410.437
    0.497004       415.417       409.513
    0.497503       414.491       408.592
    0.498002       413.568       407.674
    0.498501       412.648       406.759
       0.499        411.73       405.847
