# P(k)  H0=0.7 Om0=0.3 Ob0=0.05 Ol0=0.7 Sigma8=0.8154 n_s=0.96
# k  P(k)  P_noOsc(k) 
    0.100299       10219.1       9877.29
    0.100798       10112.9       9797.49
    0.101297       10006.3       9718.57
    0.101796       9899.49       9640.54
    0.102295       9792.74       9563.38
    0.102794       9686.18       9487.07
    0.103293          9580       9411.62
    0.103792       9474.36       9336.99
    0.104291       9369.45       9263.19
     0.10479       9265.43       9190.19
    0.105289       9162.46          9118
    0.105788       9060.71       9046.59
    0.106287       8960.31       8975.96
    0.106786       8861.41        8906.1
    0.107285       8764.14       8836.99
    0.107784       8668.62       8768.63
    0.108283       8574.97          8701
    0.108782       8483.29        8634.1
    0.109281       8393.67       8567.91
     0.10978        8306.2       8502.43
    0.110279       8220.94       8437.65
    0.110778       8137.96       8373.55
    0.111277       8057.32       8310.13
    0.111776       7979.04       8247.38
    0.112275       7903.16       8185.28
    0.112774       7829.69       8123.84
    0.113273       7758.65       8063.04
    0.113772       7690.04       8002.87
    0.114271       7623.84       7943.33
     0.11477       7560.03        7884.4
    0.115269       7498.59       7826.08
    0.115768       7439.47       7768.36
    0.116267       7382.63       7711.24
    0.116766       7328.01        7654.7
    0.117265       7275.56       7598.74
    0.117764       7225.21       7543.34
    0.118263       7176.88       7488.51
    0.118762       7130.48       7434.24
    0.119261       7085.95       7380.51
     0.11976       7043.18       7327.32
    0.120259       7002.08       7274.67
    0.120758       6962.55       7222.55
    0.121257       6924.49       7170.94
    0.121756       6887.79       7119.85
    0.122255       6852.35       7069.27
    0.122754       6818.07       7019.19
    0.123253       6784.82        6969.6
    0.123752       6752.51        6920.5
    0.124251       6721.02       6871.88
     0.12475       6690.25       6823.74
    0.125249       6660.08       6776.07
    0.125748       6630.41       6728.86
    0.126247       6601.14       6682.12
    0.126746       6572.16       6635.82
    0.127245       6543.38       6589.97
    0.127744       6514.71       6544.57
    0.128243       6486.05        6499.6
    0.128742       6457.31       6455.06
    0.129241       6428.42       6410.95
     0.12974       6399.31       6367.26
    0.130239       6369.89       6323.98
    0.130738        6340.1       6281.12
    0.131237       6309.89       6238.66
    0.131736        6279.2        6196.6
    0.132235       6247.99       6154.93
    0.132734       6216.21       6113.66
    0.133233       6183.83       6072.77
    0.133732       6150.83       6032.27
    0.134231       6117.18       5992.14
     0.13473       6082.86       5952.38
    0.135229       6047.87          5913
    0.135728       6012.21       5873.98
    0.136227       5975.88       5835.31
    0.136726       5938.89          5797
    0.137225       5901.26       5759.05
    0.137724          5863       5721.44
    0.138223       5824.15       5684.17
    0.138722       5784.73       5647.24
    0.139221       5744.78       5610.65
     0.13972       5704.33       5574.39
    0.140219       5663.44       5538.46
    0.140718       5622.14       5502.85
    0.141217       5580.48       5467.56
    0.141716       5538.53       5432.58
    0.142215       5496.33       5397.92
    0.142714       5453.93       5363.57
    0.143213        5411.4       5329.52
    0.143712       5368.79       5295.78
    0.144211       5326.15       5262.33
     0.14471       5283.56       5229.18
    0.145209       5241.06       5196.32
    0.145708       5198.72       5163.75
    0.146207       5156.59       5131.47
    0.146706       5114.72       5099.47
    0.147205       5073.18       5067.74
    0.147704          5032       5036.29
    0.148203       4991.25       5005.12
    0.148702       4950.97       4974.21
    0.149201        4911.2       4943.58
      0.1497       4871.99        4913.2
    0.150199       4833.38       4883.09
    0.150698        4795.4       4853.23
    0.151197       4758.08       4823.63
    0.151696       4721.46       4794.28
    0.152195       4685.57       4765.19
    0.152694       4650.41       4736.34
    0.153193       4616.03       4707.73
    0.153692       4582.42       4679.36
    0.154191       4549.61       4651.24
     0.15469        4517.6       4623.35
    0.155189        4486.4       4595.69
    0.155688       4456.01       4568.27
    0.156187       4426.43       4541.08
    0.156686       4397.66       4514.11
    0.157185       4369.69       4487.36
    0.157684       4342.51       4460.84
    0.158183       4316.11       4434.54
    0.158682       4290.46       4408.45
    0.159181       4265.57       4382.58
     0.15968       4241.39       4356.92
    0.160179       4217.92       4331.47
    0.160678       4195.12       4306.23
    0.161177       4172.97        4281.2
    0.161676       4151.44       4256.36
    0.162175       4130.51       4231.74
    0.162674       4110.13       4207.31
    0.163173       4090.27       4183.07
    0.163672       4070.91       4159.04
    0.164171       4052.01       4135.19
     0.16467       4033.53       4111.54
    0.165169       4015.44       4088.08
    0.165668        3997.7        4064.8
    0.166167       3980.28       4041.71
    0.166666       3963.14        4018.8
    0.167165       3946.25       3996.08
    0.167664       3929.56       3973.53
    0.168163       3913.05       3951.17
    0.168662       3896.69       3928.98
    0.169161       3880.44       3906.96
     0.16966       3864.26       3885.12
    0.170159       3848.14       3863.45
    0.170658       3832.03       3841.94
    0.171157       3815.92       3820.61
    0.171656       3799.78       3799.44
    0.172155       3783.58       3778.43
    0.172654       3767.31       3757.59
    0.173153       3750.93       3736.91
    0.173652       3734.44       3716.39
    0.174151       3717.82       3696.02
     0.17465       3701.05       3675.82
    0.175149       3684.12       3655.76
    0.175648       3667.03       3635.86
    0.176147       3649.75       3616.12
    0.176646       3632.29       3596.52
    0.177145       3614.65       3577.07
    0.177644       3596.82       3557.77
    0.178143       3578.79       3538.61
    0.178642       3560.58        3519.6
    0.179141       3542.19       3500.73
     0.17964       3523.62       3482.01
    0.180139       3504.87       3463.42
    0.180638       3485.96       3444.97
    0.181137        3466.9       3426.67
    0.181636        3447.7       3408.49
    0.182135       3428.37       3390.45
    0.182634       3408.93       3372.55
    0.183133       3389.38       3354.78
